,composer,song_name,year,era
0,Handel,handel_hwv-443_1_praeludium_und_fuge_(c)yamada.mid,1702,Baroque
1,Handel,handel_hwv-443_2_allemande_(c)yamada.mid,1702,Baroque
2,Handel,handel_hwv-443_3_courante_(c)yamada.mid,1702,Baroque
3,Bach,overture_bwv-820_(c)sankey.mid,1705,Baroque
4,Handel,handel_hwv-444_2_allemande_(c)yamada.mid,1705,Baroque
5,Handel,handel_hwv-435_chacone_with_21_variations_(c)yamada.mid,1705,Baroque
6,Handel,handel_hwv-445_1_prelude_(c)yamada.mid,1705,Baroque
7,Handel,handel_hwv-445_3_courante_(c)yamada.mid,1705,Baroque
8,Handel,handel_hwv-444_1_prelude_(c)yamada.mid,1705,Baroque
9,Handel,handel_hwv-444_3_courante_(c)yamada.mid,1705,Baroque
10,Handel,handel_hwv-445_2_allemande_(c)yamada.mid,1705,Baroque
11,Bach,suites_bwv-818_(c)sankey.mid,1705,Baroque
12,Handel,handel_hwv-429_1_allegro_(c)yamada.mid,1710,Baroque
13,Handel,handel_hwv-427_1_adagio_(c)yamada.mid,1710,Baroque
14,Handel,handel_hwv-426_4_gigue_(c)yamada.mid,1710,Baroque
15,Handel,handel_hwv-426-1_prelude_(c)yamada.mid,1710,Baroque
16,Handel,handel_hwv-429_2_allemande_(c)yamada.mid,1710,Baroque
17,Handel,handel_hwv-426_2_allemande_(c)yamada.mid,1710,Baroque
18,Handel,handel_hwv-427_2_allegro_(c)yamada.mid,1710,Baroque
19,Handel,handel_hwv-427_3_adagio_(c)yamada.mid,1710,Baroque
20,Handel,handel_hwv-429_3_courante_(c)yamada.mid,1710,Baroque
21,Handel,handel_hwv-426_3_courante_(c)yamada.mid,1710,Baroque
22,Handel,handel_hwv-427_4_allegro_(c)yamada.mid,1710,Baroque
23,Couperin,couperin_2_19_la_diligente_(c)icking-archive.mid,1713,Baroque
24,Couperin,couperin_2_15_la_garnier_(c)icking-archive.mid,1713,Baroque
25,Couperin,couperin_5_9_la_flore_(c)icking-archive.mid,1713,Baroque
26,Handel,handel_hwv-434_3_aria_con_variazioni_(c)yamada.mid,1713,Baroque
27,Handel,handel_hwv-434_1_prelude_(c)yamada.mid,1713,Baroque
28,Couperin,couperin_4_4_le_reveil_matin_(c)icking-archive.mid,1713,Baroque
29,Couperin,couperin_2_11_la_charoloise_(c)icking-archive.mid,1713,Baroque
30,Couperin,couperin_2_8_canaries_(c)icking-archive.mid,1713,Baroque
31,Couperin,couperin_8_4_seconde_courante_(c)icking-archive.mid,1713,Baroque
32,Couperin,couperin_2_17_les_idees_heureuses_(c)icking-archive.mid,1713,Baroque
33,Couperin,couperin_1_9_les_abeilles_(c)icking-archive.mid,1713,Baroque
34,Couperin,couperin_3_12_la_favorite_(c)icking-archive.mid,1713,Baroque
35,Handel,handel_hwv-434_2_sonata_(c)yamada.mid,1713,Baroque
36,Couperin,couperin_1_8_les_silvains_(c)icking-archive.mid,1713,Baroque
37,Couperin,couperin_1_16_l-enchanteresse_(c)icking-archive.mid,1713,Baroque
38,Couperin,couperin_8_9_passacaille_(c)icking-archive.mid,1717,Baroque
39,Couperin,couperin_6_5_les_baricades_(c)icking-archive.mid,1717,Baroque
40,Handel,handel_hwv-428_2_allegro_(c)yamada.mid,1717,Baroque
41,Handel,handel_hwv-428_3_allemande_(c)yamada.mid,1717,Baroque
42,Handel,handel_hwv-428_1_prelude_(c)yamada.mid,1717,Baroque
43,Couperin,couperin_6_1_les_moissonneurs_(c)icking-archive.mid,1717,Baroque
44,Couperin,couperin_11_2_l-etincelante_(c)icking-archive.mid,1717,Baroque
45,Bach,BWV793_(c)galimberti.mid,1720,Baroque
46,Bach,BWV790_(c)galimberti.mid,1720,Baroque
47,Bach,BWV784_(c)galimberti.mid,1720,Baroque
48,Bach,BWV799_(c)galimberti.mid,1720,Baroque
49,Bach,BWV780_(c)galimberti.mid,1720,Baroque
50,Bach,english_suites_bwv-810_(c)sankey.mid,1720,Baroque
51,Bach,BWV801_(c)galimberti.mid,1720,Baroque
52,Bach,english_suites_bwv-807_(c)sankey.mid,1720,Baroque
53,Bach,BWV781_(c)galimberti.mid,1720,Baroque
54,Bach,BWV774_(c)galimberti.mid,1720,Baroque
55,Bach,BWV798_(c)galimberti.mid,1720,Baroque
56,Bach,BWV787_(c)galimberti.mid,1720,Baroque
57,Bach,BWV776_(c)galimberti.mid,1720,Baroque
58,Bach,BWV777_(c)galimberti.mid,1720,Baroque
59,Bach,english_suites_bwv-809_(c)sankey.mid,1720,Baroque
60,Bach,english_suites_bwv-811_(c)sankey.mid,1720,Baroque
61,Bach,BWV791_(c)galimberti.mid,1720,Baroque
62,Bach,BWV797_(c)galimberti.mid,1720,Baroque
63,Bach,english_suites_bwv-808_(c)sankey.mid,1720,Baroque
64,Bach,BWV795_(c)galimberti.mid,1720,Baroque
65,Bach,BWV792_(c)galimberti.mid,1720,Baroque
66,Bach,BWV800_(c)galimberti.mid,1720,Baroque
67,Bach,english_suites_bwv-806_(c)sankey.mid,1720,Baroque
68,Bach,BWV782_(c)galimberti.mid,1720,Baroque
69,Bach,BWV783_(c)galimberti.mid,1720,Baroque
70,Bach,BWV786_(c)galimberti.mid,1720,Baroque
71,Bach,BWV779_(c)galimberti.mid,1720,Baroque
72,Bach,BWV788_(c)galimberti.mid,1720,Baroque
73,Bach,BWV796_(c)galimberti.mid,1720,Baroque
74,Bach,BWV789_(c)galimberti.mid,1720,Baroque
75,Bach,BWV785_(c)galimberti.mid,1720,Baroque
76,Bach,BWV794_(c)galimberti.mid,1720,Baroque
77,Bach,BWV778_(c)galimberti.mid,1720,Baroque
78,Bach,BWV772_(c)galimberti.mid,1720,Baroque
79,Bach,BWV773_(c)galimberti.mid,1720,Baroque
80,Bach,BWV775_(c)galimberti.mid,1720,Baroque
81,Bach,suites_bwv-823_(c)sankey.mid,1722,Baroque
82,Bach,well-tempered-clavier-i_bwv-861_(c)sankey.mid,1722,Baroque
83,Bach,well-tempered-clavier-i_bwv-859_(c)sankey.mid,1722,Baroque
84,Bach,well-tempered-clavier-i_bwv-858_(c)sankey.mid,1722,Baroque
85,Bach,well-tempered-clavier-i_bwv-847_(c)sankey.mid,1722,Baroque
86,Bach,well-tempered-clavier-i_bwv-854_(c)sankey.mid,1722,Baroque
87,Bach,french_suites_bwv-817_(c)sankey.mid,1722,Baroque
88,Bach,well-tempered-clavier-i_bwv-868_(c)sankey.mid,1722,Baroque
89,Bach,well-tempered-clavier-i_bwv-862_(c)sankey.mid,1722,Baroque
90,Bach,french_suites_bwv-815_(c)sankey.mid,1722,Baroque
91,Bach,well-tempered-clavier-i_bwv-867_(c)sankey.mid,1722,Baroque
